origin,skill,dataset_slug,evidence
param087/agent-ml-skills,data-cleaning,titanic,cleaning_report.json
param087/agent-ml-skills,experiment-tracking,house-prices-advanced-regression-techniques,experiment_table.csv
param087/agent-ml-skills,exploratory-data-analysis,titanic,eda_report.html
param087/agent-ml-skills,feature-engineering,house-prices-advanced-regression-techniques,feature_ablation.csv
param087/agent-ml-skills,hyperparameter-tuning,house-prices-advanced-regression-techniques,tuning_trials.csv
param087/agent-ml-skills,imbalanced-data,mlg-ulb/creditcardfraud,threshold_analysis.csv
param087/agent-ml-skills,llm-finetuning,lakshmi25npathi/imdb-dataset-of-50k-movie-reviews,finetuning_report.md
param087/agent-ml-skills,ml-debugging,titanic,debugging_case.md
param087/agent-ml-skills,model-evaluation,mlg-ulb/creditcardfraud,evaluation.json
param087/agent-ml-skills,model-serving,titanic,api_test_report.md
param087/agent-ml-skills,pandas-patterns,olistbr/brazilian-ecommerce,pandas_benchmark.csv
param087/agent-ml-skills,pytorch-training-loop,lakshmi25npathi/imdb-dataset-of-50k-movie-reviews,training_history.csv
param087/agent-ml-skills,rag-pipeline,shivamb/netflix-shows,retrieval_eval.json
param087/agent-ml-skills,reproducible-ml,house-prices-advanced-regression-techniques,reproducibility_check.json
param087/agent-ml-skills,sklearn-pipelines,titanic,pipeline_cv.json
nimrodfisher/data-analytics-skills,data-quality-audit,olistbr/brazilian-ecommerce,data_quality_audit.md
nimrodfisher/data-analytics-skills,metric-reconciliation,olistbr/brazilian-ecommerce,metric_reconciliation.md
nimrodfisher/data-analytics-skills,programmatic-eda,olistbr/brazilian-ecommerce,programmatic_eda.json
nimrodfisher/data-analytics-skills,query-validation,olistbr/brazilian-ecommerce,query_review.md
nimrodfisher/data-analytics-skills,schema-mapper,olistbr/brazilian-ecommerce,schema.md
nimrodfisher/data-analytics-skills,analysis-assumptions-log,olistbr/brazilian-ecommerce,assumptions.md
nimrodfisher/data-analytics-skills,analysis-documentation,olistbr/brazilian-ecommerce,analysis_documentation.md
nimrodfisher/data-analytics-skills,data-catalog-entry,olistbr/brazilian-ecommerce,data_catalog.md
nimrodfisher/data-analytics-skills,semantic-model-builder,olistbr/brazilian-ecommerce,semantic_model.yml
nimrodfisher/data-analytics-skills,sql-to-business-logic,olistbr/brazilian-ecommerce,sql_business_logic.md
nimrodfisher/data-analytics-skills,ab-test-analysis,faviovaz/marketing-ab-testing,ab_test_report.md
nimrodfisher/data-analytics-skills,business-metrics-calculator,olistbr/brazilian-ecommerce,business_metrics.json
nimrodfisher/data-analytics-skills,cohort-analysis,olistbr/brazilian-ecommerce,cohort_retention.csv
nimrodfisher/data-analytics-skills,funnel-analysis,faviovaz/marketing-ab-testing,funnel_analysis.csv
nimrodfisher/data-analytics-skills,root-cause-investigation,store-sales-time-series-forecasting,root_cause.md
nimrodfisher/data-analytics-skills,segmentation-analysis,olistbr/brazilian-ecommerce,segments.csv
nimrodfisher/data-analytics-skills,time-series-analysis,store-sales-time-series-forecasting,time_series_metrics.json
nimrodfisher/data-analytics-skills,dashboard-specification,olistbr/brazilian-ecommerce,dashboard_spec.md
nimrodfisher/data-analytics-skills,data-narrative-builder,store-sales-time-series-forecasting,data_narrative.md
nimrodfisher/data-analytics-skills,executive-summary-generator,store-sales-time-series-forecasting,executive_summary.md
nimrodfisher/data-analytics-skills,insight-synthesis,store-sales-time-series-forecasting,insights.md
nimrodfisher/data-analytics-skills,visualization-builder,store-sales-time-series-forecasting,visualization_spec.md
nimrodfisher/data-analytics-skills,analysis-qa-checklist,olistbr/brazilian-ecommerce,qa_checklist.md
nimrodfisher/data-analytics-skills,impact-quantification,faviovaz/marketing-ab-testing,impact_estimate.md
nimrodfisher/data-analytics-skills,methodology-explainer,faviovaz/marketing-ab-testing,methodology.md
nimrodfisher/data-analytics-skills,stakeholder-requirements-gathering,olistbr/brazilian-ecommerce,requirements.md
nimrodfisher/data-analytics-skills,technical-to-business-translator,faviovaz/marketing-ab-testing,business_translation.md
nimrodfisher/data-analytics-skills,analysis-planning,house-prices-advanced-regression-techniques,analysis_plan.md
nimrodfisher/data-analytics-skills,analysis-retrospective,house-prices-advanced-regression-techniques,retrospective.md
nimrodfisher/data-analytics-skills,context-packager,house-prices-advanced-regression-techniques,context_pack.md
nimrodfisher/data-analytics-skills,peer-review-template,house-prices-advanced-regression-techniques,peer_review.md
